ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,btc_halving,btc_halving_lower,btc_halving_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,yhat_moving_avg_7,yhat_moving_avg_14,yhat_moving_avg_28,yhat_moving_avg_90
2025-11-27,95110.6019480148,64513.4535780192,132309.71549910842,95110.6019480148,95110.6019480148,0.0,0.0,0.0,0.0,0.0,0.0,0.03978970259122664,0.03978970259122664,0.03978970259122664,0.0010087538999837646,0.0010087538999837646,0.0010087538999837646,0.03878094869124287,0.03878094869124287,0.03878094869124287,0.0,0.0,0.0,98895.02451279885,99792.49308694806,100905.0566404784,101757.68613038817,103498.64645053094
2025-11-28,95145.30401549755,67003.28528116354,131163.05468508927,95145.30401549755,95145.30401549755,0.0,0.0,0.0,0.0,0.0,0.0,0.029376605801939012,0.029376605801939012,0.029376605801939012,-0.006030830227531971,-0.006030830227531971,-0.006030830227531971,0.03540743602947098,0.03540743602947098,0.03540743602947098,0.0,0.0,0.0,97940.35010546645,99461.66063912513,100604.92201613101,101636.71022744689,103441.65795100793
2025-11-29,95180.00608298031,68801.74896437739,129731.8705182814,95180.00608298031,95180.00608298031,0.0,0.0,0.0,0.0,0.0,0.0,0.031726305279812926,0.031726305279812926,0.031726305279812926,-0.0005869516942319465,-0.0005869516942319465,-0.0005869516942319465,0.032313256974044864,0.032313256974044864,0.032313256974044864,0.0,0.0,0.0,98199.7160125034,99144.10255835977,100298.94499011968,101502.60543846716,103378.93079905315
2025-11-30,95214.70815046308,68874.3763815947,130373.72479932205,95214.70815046308,95214.70815046308,0.0,0.0,0.0,0.0,0.0,0.0,0.04113053320474068,0.04113053320474068,0.04113053320474068,0.01160682319941697,0.01160682319941697,0.01160682319941697,0.029523710005323722,0.029523710005323722,0.029523710005323722,0.0,0.0,0.0,99130.93986562539,98844.58752783794,99992.14825855901,101355.98039247052,103311.81066131708
2025-12-01,95249.41021794584,66158.53456204775,131224.7937343841,95249.41021794584,95249.41021794584,0.0,0.0,0.0,0.0,0.0,0.0,0.027035369573396653,0.027035369573396653,0.027035369573396653,-1.9257131541758387e-05,-1.9257131541758387e-05,-1.9257131541758387e-05,0.027054626704938408,0.027054626704938408,0.027054626704938408,0.0,0.0,0.0,97824.51322483608,98566.1801708721,99688.38053425818,101196.6968499871,103240.56664003534
2025-12-02,95284.1122854286,66416.14613407571,131273.90484377457,95284.1122854286,95284.1122854286,0.0,0.0,0.0,0.0,0.0,0.0,0.0237829366290394,0.0237829366290394,0.0237829366290394,-0.0011293166241429762,-0.0011293166241429762,-0.0011293166241429762,0.024912253253182377,0.024912253253182377,0.024912253253182377,0.0,0.0,0.0,97550.24828966722,98312.40195715179,99392.44019189225,101026.09699306404,103166.64021441682
2025-12-03,95318.81435291136,64777.30018177159,130069.8241922701,95318.81435291136,95318.81435291136,0.0,0.0,0.0,0.0,0.0,0.0,0.01824420933414006,0.01824420933414006,0.01824420933414006,-0.004849221422024538,-0.004849221422024538,-0.004849221422024538,0.023093430756164598,0.023093430756164598,0.023093430756164598,0.0,0.0,0.0,97057.8307554479,98085.51753804933,99108.31026722454,100845.32420722561,103090.95285048874
2025-12-04,95353.51642039412,67821.25695780407,129485.01270475186,95353.51642039412,95353.51642039412,0.0,0.0,0.0,0.0,0.0,0.0,0.022594815523872526,0.022594815523872526,0.022594815523872526,0.001008753899997383,0.001008753899997383,0.001008753899997383,0.021586061623875143,0.021586061623875143,0.021586061623875143,0.0,0.0,0.0,97508.01153346547,97887.372826716,98839.93295683201,100656.16330315547,103014.76926788487
2025-12-05,95388.21848787687,64384.2326461519,128969.18452363592,95388.21848787687,95388.21848787687,0.0,0.0,0.0,0.0,0.0,0.0,0.014339010208320789,0.014339010208320789,0.014339010208320789,-0.006030830227522792,-0.006030830227522792,-0.006030830227522792,0.02036984043584358,0.02036984043584358,0.02036984043584358,0.0,0.0,0.0,96755.99112652807,97718.17868686763,98589.9196629964,100459.79466323201,102938.45910213202
2025-12-06,95422.92055535964,63888.773121748025,129286.47958940935,95422.92055535964,95422.92055535964,0.0,0.0,0.0,0.0,0.0,0.0,0.01883026804903096,0.01883026804903096,0.01883026804903096,-0.0005869516942042663,-0.0005869516942042663,-0.0005869516942042663,0.01941721974323523,0.01941721974323523,0.01941721974323523,0.0,0.0,0.0,97219.75972743845,97578.18493185836,98361.14374510908,100258.40859240784,102863.15743208317
