ds,y,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2022-11-11,17038.163531239214,17039.018973918915,17995.803717546627,19518.776550744024,19715.603826899733
2022-11-11,16891.75,17099.46477313386,18261.667036743824,19630.532615104534,19737.982062657844
2022-11-10,17194.6765732471,17160.607630276718,18557.39917960097,19755.808687154473,19764.62805737437
2022-11-10,16833.0,17441.902878363795,18810.357039409926,19870.324095920085,19787.926103446844
2022-11-10,16966.42183798047,17791.733452344575,19120.93415967642,20000.31604482154,19815.670547891288
2022-11-09,17220.916666666668,18191.34851445126,19422.367514193647,20126.053126710176,19843.12457260834
2022-11-09,17128.204208298957,18435.01626336901,19748.13208726426,20243.627531472077,19867.726419424078
2022-11-09,17461.284125743823,18952.58846117434,20048.15395474032,20363.83875887817,19893.632468834443
2022-11-09,17319.75,19423.86930035379,20377.716993377668,20471.987624199945,19915.66737504869
2022-11-08,19163.743309856658,19954.19072892522,20664.154643323145,20589.30458848566,19945.20904171536
2022-11-08,19281.81401786545,20178.811200456057,20804.74440690481,20645.19768456221,19951.036600097686
2022-11-08,19763.727272727272,20450.134867008263,20916.32124589867,20685.93646963844,19955.42755545474
2022-11-08,18926.590909090908,20653.38651393604,20987.43303403409,20718.739468110554,19954.619010015977
2022-11-07,20751.209592936248,21061.247911159506,21079.87806568194,20782.11686249454,19966.6513332483
2022-11-07,20760.25,21143.719448306303,21041.74938394142,20783.777685312878,19959.842714796527
2022-11-07,21032.0,21331.56468640154,20999.39819346523,20785.215077662444,19952.975693505774
2022-11-07,20736.086610572525,21374.11855772106,20954.218194707973,20767.857934805303,19942.37311251402
2022-11-06,21181.079683730903,21430.677613353557,20930.29115243025,20754.118826715254,19935.119061759655
2022-11-06,21186.488801221683,21382.507624789076,20879.697929966653,20724.80782956616,19923.22928749598
2022-11-06,21781.620689655174,21321.47955413214,20829.738739226694,20706.915372379673,19910.09023878479
2022-11-05,21328.510352963836,21098.508220204385,20739.122975679897,20663.94211571891,19890.335655063664
2022-11-05,22075.166666666668,20939.77931957654,20679.52356301602,20636.84399437805,19867.63692891962
2022-11-05,21329.87709923664,20667.23170052892,20566.25825502222,20584.53304363537,19837.000112283044
2022-11-04,21132.0,20534.317831694894,20514.454533648175,20575.91441707533,19814.539826644625
2022-11-04,20843.889763779527,20429.904691506938,20485.650962219603,20553.314985567984,19792.869799544354
2022-11-04,20759.292306623116,20376.88823514423,20455.55169337821,20516.32088438999,19774.382832936622
2022-11-03,20220.82135216089,20337.997924321255,20450.045902187027,20483.62704219917,19758.21046846174
2022-11-03,20217.408048568952,20379.737731155416,20484.355659307133,20477.05842247914,19748.053645849654
2022-11-02,20167.333333333332,20419.267806455493,20525.805986684332,20477.115277887387,19740.80955946434
2022-11-02,20399.480017398422,20465.28480951552,20571.031961859662,20453.781944554055,19734.03464705259
2022-11-02,20401.108018684314,20494.59123560146,20581.497674902632,20415.838249641314,19723.50709130372
2022-11-01,20472.774569240588,20541.39723293227,20577.94650100026,20378.386924855808,19716.000335540564
2022-11-01,20487.0601308623,20534.21515161219,20569.917729165678,20338.175180200837,19707.46395143789
2022-11-01,20513.0,20562.09388005279,20584.09200553266,20297.518518687244,19694.45000061318
2022-10-31,20494.11857566949,20588.973587458855,20588.76125575792,20249.730055246062,19681.222672336735
2022-10-31,20489.45235475352,20632.344166913175,20594.16442574008,20202.674270272477,19665.808236765544
2022-10-31,20604.625,20676.7791142038,20602.807832248516,20149.37780527448,19651.81432171273
2022-10-31,20728.75,20668.4041142038,20637.37430050248,20091.67646474523,19635.60404494322
2022-10-30,20422.5,20614.49576906825,20620.979008916358,20029.4175361738,19619.795711609888
2022-10-30,20682.211229946523,20605.62030671917,20577.090075401775,19982.986747295363,19618.540156054332
2022-10-30,20701.157951842422,20606.090131012523,20517.208182211314,19927.130032714962,19611.00447572159
2022-10-29,20797.712631849754,20588.54892405699,20469.761185651143,19873.51580425537,19599.153832525888
2022-10-29,20800.49698578791,20555.984684566993,20428.424569090446,19816.150786022576,19586.67239989882
2022-10-29,20546.0,20528.83655029323,20336.531927248452,19767.004501089104,19566.835481291753
2022-10-28,20351.39158405114,20606.344486801165,20250.17882437999,19724.683072517677,19549.989721682232
2022-10-28,20360.371763556424,20627.462248764466,20178.82734871135,19689.99051594442,19534.38608856016
2022-10-27,20685.5,20548.559844084382,20106.432631236,19659.672871016497,19519.515291187312
2022-10-27,20578.369503153703,20428.326233410102,20010.94503184183,19614.949117147793,19500.28524833454
2022-10-27,20569.762955419777,20350.97344724529,19910.698854734208,19574.186688042566,19483.46218943129
2022-10-26,20610.46004587156,20300.864453613896,19811.18411480487,19525.183160270917,19466.69285757279
2022-10-26,21088.555555555555,20144.22730420367,19695.947778300444,19475.141473815223,19448.42986487809
2022-10-26,20499.21591779423,19894.013161958817,19545.978628987978,19404.5974774758,19424.91526210661
2022-10-25,19808.054930795846,19730.192448658236,19437.85606343125,19355.346607361313,19406.893021750166
2022-10-25,19843.864725280055,19664.305418387612,19388.88341918895,19345.232244833467,19401.542411407987
2022-10-25,20036.9,19593.56383027355,19337.05188321861,19342.290647502035,19392.02107375539
2022-10-25,20219.0,19470.42426222312,19277.2704228596,19323.9593712047,19381.166629310945
2022-10-24,19514.0,19321.503775995843,19203.877002954705,19305.423656918985,19365.188851533167
2022-10-24,19337.056559841596,19247.668252397216,19197.477074929753,19280.594753039793,19359.418764615602
2022-10-24,19352.47092469018,19197.944096017138,19199.187320655354,19263.487165221177,19355.350077732823
2022-10-23,19346.845718901455,19145.51967820426,19201.153683177483,19254.61415903503,19351.65966005108
2022-10-23,19348.673608481637,19113.461419990286,19212.913110796995,19245.676293796692,19347.368930223915
2022-10-22,19174.923023646978,19080.53993616367,19218.95320245375,19234.634379208062,19344.99937199669
2022-10-22,19176.556596409057,19084.116583496074,19237.674521350924,19230.192977990515,19344.46297249374
2022-10-21,18997.15133480962,19086.250229913567,19239.182205736968,19225.75184059982,19344.815815866972
2022-10-21,18988.987465181057,19147.28589746229,19254.335169330003,19236.206775945444,19348.130801035753
2022-10-21,18985.5,19200.43054529357,19263.216325963618,19247.01082075218,19348.207540103725
2022-10-20,19122.437911403664,19256.78768815071,19272.837151291376,19259.314392180753,19348.00833212162
2022-10-20,19118.223221695316,19312.364801603708,19301.581070477983,19270.558897577597,19345.647910883803
2022-10-19,19199.959554973822,19357.36646874383,19347.529411785457,19281.87531394858,19347.882467679778
2022-10-19,19191.492121331496,19391.232459205778,19370.6483195498,19291.153496100655,19354.126092252365
2022-10-18,19424.401007650682,19392.11418156037,19406.970310883265,19300.186837661186,19360.025253867203
2022-10-18,19361.0,19361.384441197715,19363.71243114983,19319.976087387946,19363.846574016752
2022-10-18,19380.0,19326.002106633674,19327.787009786993,19331.662643254593,19366.378055498233
2022-10-18,19511.477705574627,19288.886614432045,19308.07463489258,19342.269786111738,19372.70026539057
2022-10-17,19433.23489167617,19290.79733935226,19278.439476796393,19348.679803171162,19376.17829088418
2022-10-17,19437.021488207458,19337.692354827093,19250.31555596238,19369.260699897015,19381.888825617738
2022-10-16,19197.664177813655,19350.064179893827,19222.711434630106,19394.31114432806,19384.145937253055
2022-10-16,19209.29282511211,19421.826440206165,19212.32147546267,19428.045212400153,19389.082350332734
2022-10-15,19113.32365805169,19366.040421101945,19218.078382560885,19459.062172601225,19393.637985609268
2022-10-15,19120.191554588608,19329.57191294032,19230.805315540743,19493.701400623657,19403.043771696008
2022-10-14,19524.852780016117,19327.26265535312,19245.791633070126,19529.087416531205,19413.3927544228
2022-10-14,19761.5,19266.081614240527,19239.53672467721,19546.198903574008,19418.063731702758
2022-10-14,19523.624263674614,19162.93875709767,19216.221216111702,19554.84919481521,19422.63605923378
2022-10-14,19700.0,19095.358689366392,19211.65867265151,19546.34922111255,19429.739154720723
2022-10-13,18818.79069138259,19002.816510719185,19193.403364439106,19532.701120018795,19445.958702045828
2022-10-13,18858.044100920277,19070.116344019825,19276.23974362606,19550.18900217581,19479.07838880824
2022-10-12,19104.026751478228,19132.038718141168,19335.538276722196,19561.74805432065,19508.496170402956
2022-10-12,19096.58549222798,19164.320610787137,19376.464937330893,19564.46362637798,19533.782027313962
2022-10-11,19039.5,19212.9918351139,19418.920129545935,19571.86341250854,19567.302750105628
2022-10-11,19050.563789555643,19269.503675125736,19488.20584383165,19581.406530975444,19604.458305661185
2022-10-11,19052.20474946956,19327.958655936633,19565.910854026013,19599.79497684454,19638.506136418688
2022-10-10,19289.889524487087,19383.990218159022,19643.768949337642,19617.844493516208,19666.79146504547
2022-10-10,19291.500719769672,19482.363143232295,19700.045962641565,19623.634153355957,19692.404852826396
2022-10-10,19330.0,19539.037835303225,19756.597485706578,19639.134127649897,19717.28262260673
2022-10-09,19437.28406251531,19588.609263874652,19812.38319999229,19652.509127649897,19740.393071555212
2022-10-09,19435.08288008288,19624.848423977975,19852.86108247081,19648.170573868567,19762.031952342077
2022-10-08,19459.74865523191,19706.908012537566,19893.47717351872,19644.15120154847,19782.975475896714
2022-10-08,19444.425685026294,19803.863052115397,19881.039769573585,19631.546584371,19797.624974945225
2022-10-07,19978.5,19903.547680516258,19871.99887559849,19623.888524191487,19813.04442928462
2022-10-07,19688.22356426618,19917.72878205084,19824.138260725565,19594.145670289494,19819.79442928462
2022-10-07,19677.0,19974.157136109927,19787.9578319191,19580.49482870856,19835.508611903882
2022-10-07,19690.958183238574,20036.157136109927,19752.46231542507,19603.084114422847,19830.507731364614
2022-10-06,20009.5,20080.87374096364,19724.80669547115,19614.26417930718,19825.427125680922
2022-10-06,20138.43393227672,20080.046334499883,19674.607218119232,19600.874895886787,19814.535459014256
2022-10-06,20142.218083832337,19958.21648703178,19633.67909966307,19584.301673141683,19801.03173555233
2022-10-05,20077.767710742064,19840.45007068072,19591.92003769478,19544.050109831667,19783.507090176416
2022-10-05,20083.222042679798,19730.547739400292,19547.22234407035,19506.625607131715,19770.608356720575
2022-10-05,20111.0,19601.758527728267,19521.67076959322,19466.048555716883,19757.923173530307
2022-10-04,20003.974417214584,19468.767494740205,19492.635055307506,19427.155698574028,19747.882432789564
2022-10-04,20003.708154753676,19368.73964997866,19443.480065266333,19389.685045932456,19743.292571793492
2022-10-03,19285.625,19269.16810173858,19394.82522957822,19356.134547614867,19738.224700558294
2022-10-03,19317.85316937491,19309.14171229436,19382.053399168413,19348.095193620393,19743.630719076813
2022-10-03,19308.45139177908,19343.390004708846,19375.778172784492,19335.557248405155,19748.77566878549
2022-10-02,19181.69756097561,19363.896948740407,19364.153079853422,19323.54974534599,19754.04170666256
2022-10-02,19180.06276908358,19441.583011458173,19373.03182549802,19312.67534265809,19760.968355971265
2022-10-01,19303.77950388374,19516.502615874808,19453.70591342062,19317.90524376225,19767.860979173776
2022-10-01,19306.70731707317,19518.220480554006,19503.721663143213,19306.58970207161,19773.563429130623
2022-09-30,19565.440273890443,19520.48235741785,19527.14257365435,19297.77872646185,19777.600014496475
2022-09-30,19557.591216276298,19454.965086042466,19534.924246620296,19269.76300239434,19779.40901145325
2022-09-30,19452.0,19408.166340860138,19496.180181968546,19249.6594652923,19782.2857769987
2022-09-30,19725.5,19364.409210966434,19466.028870193077,19232.47642030628,19786.32972869714
